S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
237.,KPCL,878.90,204.00,"469.46510.003,258,332,5596,654,595",510.00,"3,258,332,559","6,654,595"
238.,AKJCL,502.00,131.00,"268.62313.004,534,099,80014,819,368",313.00,"4,534,099,800","14,819,368"
239.,JOSHI,507.00,113.00,"272.42316.002,681,654,6498,949,832",316.00,"2,681,654,649","8,949,832"
240.,ACLBSL,"1,938.00","1,077.00","1,531.391,415.002,291,321,4101,428,979","1,415.00","2,291,321,410","1,428,979"
241.,UPPER,962.50,471.00,"697.56707.0035,078,123,81848,029,132",707.00,"35,078,123,818","48,029,132"
242.,SLBSL,"1,785.00",951.60,"1,373.701,317.00952,348,495663,603","1,317.00","952,348,495","663,603"
243.,GHL,555.90,118.00,"290.54343.001,933,616,5396,069,469",343.00,"1,933,616,539","6,069,469"
244.,ALBSL,"2,101.20","1,176.00","1,652.801,610.002,432,903,6511,447,271","1,610.00","2,432,903,651","1,447,271"
245.,SHIVM,"1,910.00","1,027.00","1,463.391,487.0018,352,964,04612,059,072","1,487.00","18,352,964,046","12,059,072"
246.,UPCL,635.00,130.00,"318.51395.0015,909,693,08744,316,980",395.00,"15,909,693,087","44,316,980"
247.,MHNL,720.00,202.00,"385.26493.003,571,533,6588,163,077",493.00,"3,571,533,658","8,163,077"
248.,PPCL,642.00,212.00,"393.46514.602,719,689,8016,323,706",514.60,"2,719,689,801","6,323,706"
249.,GMFBS,"1,996.00","1,160.00","1,585.971,390.001,040,231,444621,209","1,390.00","1,040,231,444","621,209"
250.,HURJA,685.40,199.00,"404.38495.002,735,044,9146,458,705",495.00,"2,735,044,914","6,458,705"
251.,GLBSL,"2,245.00","1,017.00","1,622.431,380.00834,148,108485,887","1,380.00","834,148,108","485,887"
252.,SAND2085,"1,111.00",999.60,"1,043.050.0021,813,21120,849",0.00,"21,813,211","20,849"
253.,SMFBS,"3,110.00","1,670.00","2,406.212,000.001,048,530,009421,850","2,000.00","1,048,530,009","421,850"
254.,UNHPL,612.00,113.00,"301.97385.004,478,085,86013,885,867",385.00,"4,478,085,860","13,885,867"
255.,ILBS,"2,140.00","1,304.00","1,677.531,424.002,497,964,0701,473,560","1,424.00","2,497,964,070","1,473,560"
256.,SRD80,"1,086.00",990.00,"1,029.890.0014,823,50014,378",0.00,"14,823,500","14,378"
257.,NBF2,17.00,10.00,"12.1911.221,037,895,25877,887,658",11.22,"1,037,895,258","77,887,658"
258.,GBD80/81,"1,085.00",993.00,"1,041.660.0027,490,42726,434",0.00,"27,490,427","26,434"
259.,RHPL,613.00,301.00,"424.71398.0013,113,069,95827,991,517",398.00,"13,113,069,958","27,991,517"
260.,SJCL,550.00,281.00,"400.17400.006,364,842,25714,557,363",400.00,"6,364,842,257","14,557,363"
261.,SABSL,"2,306.20","1,041.00","1,692.751,430.002,577,212,9761,472,037","1,430.00","2,577,212,976","1,472,037"
262.,NMBD2085,"1,030.00",970.00,"1,006.960.001,257,4551,247",0.00,"1,257,455","1,247"
263.,NIBD2082,"1,150.00","1,010.00","1,071.371,066.0012,672,73611,853","1,066.00","12,672,736","11,853"
264.,NBBD2085,"1,145.00","1,020.00","1,061.510.006,310,2725,912",0.00,"6,310,272","5,912"
265.,SIGS2,16.87,10.15,"12.1511.46963,219,01672,197,839",11.46,"963,219,016","72,197,839"
266.,SAPDBL,540.00,155.00,"315.78365.004,171,159,66611,856,424",365.00,"4,171,159,666","11,856,424"
267.,SAPDBLP,207.00,104.00,"167.250.0014,231,33177,359",0.00,"14,231,331","77,359"
268.,CMF2,16.87,9.04,"11.5410.23212,371,10116,738,004",10.23,"212,371,101","16,738,004"
269.,NICBF,17.00,9.92,"11.9711.28598,382,97144,929,622",11.28,"598,382,971","44,929,622"
270.,SBLD83,"1,097.00",984.90,"1,041.45984.903,715,5693,594",984.90,"3,715,569","3,594"
271.,MBLD2085,"1,119.00","1,000.00","1,056.840.005,649,9745,310",0.00,"5,649,974","5,310"
272.,NMB50,18.47,10.72,"13.0513.031,090,427,87075,891,788",13.03,"1,090,427,870","75,891,788"
273.,NICD83/84,"1,123.00",990.00,"1,044.790.009,795,2139,353",0.00,"9,795,213","9,353"
274.,NICAD8283,"1,246.00","1,019.30","1,106.310.0035,228,00831,388",0.00,"35,228,008","31,388"
